date,time,location,title,shop,format
2025/9/3,19:00,東京都,カジュアル PWS,アメニティードリーム秋葉原店,スタンダード
2025/9/3,19:00,東京都,カジュアル PWS,イエローサブマリン新宿店,スタンダード
2025/9/3,19:00,東京都,競技 PWS,Card Pot,スタンダード
2025/9/3,19:30,東京都,カジュアル PWS,ゲームバーグリュック,スタンダード
2025/9/5,17:00,東京都,カジュアル PWS,スポーツカード＆カードゲームショップMINT渋谷店,スタンダード
2025/9/5,18:00,東京都,カジュアル PWS,MINTGAMES池袋店,スタンダード
2025/9/5,18:30,東京都,カジュアル PWS,TSUTAYATradingCard錦糸町店,スタンダード
2025/9/5,19:00,東京都,カジュアル PWS,ブックアニマル蒲田梅屋敷店,スタンダード
2025/9/5,19:00,東京都,カジュアル PWS,Clove Base Akihabara,スタンダード
2025/9/5,21:00,東京都,カジュアル PWS,CARDGYM石神井公園駅前店,スタンダード
2025/9/6,12:00,東京都,競技 PWS,晴れる屋トーナメントセンター東京,スタンダード
2025/9/6,12:00,東京都,競技 PWS,スポーツカード＆カードゲームショップMINT渋谷店,スタンダード
2025/9/6,12:00,東京都,カジュアル PWS,ゲームショップとど,スタンダード
2025/9/6,13:00,東京都,カジュアル PWS,イエローサブマリン池袋ゲームショップ,スタンダード
2025/9/6,13:00,東京都,カジュアル PWS,アメニティードリーム立川店,スタンダード
2025/9/6,15:00,東京都,カジュアル PWS,フルコンプ八王子店,スタンダード
2025/9/6,15:00,東京都,カジュアル PWS,イエローサブマリン秋葉原本店★ミント,スタンダード
2025/9/6,15:00,東京都,カジュアル PWS,イエローサブマリン町田ゲームショップ,スタンダード
2025/9/6,16:00,東京都,カジュアル PWS,イエローサブマリン立川店,スタンダード
2025/9/6,17:00,東京都,カジュアル PWS,ゲームショップ武蔵,スタンダード
2025/9/6,17:00,東京都,カジュアル PWS,TCG専門店Day屋,スタンダード
2025/9/6,18:00,東京都,カジュアル PWS,アメニティードリーム蒲田店,スタンダード
2025/9/6,18:00,東京都,カジュアル PWS,カードボックス池袋店,スタンダード
2025/9/6,19:00,東京都,カジュアル PWS,TCG専門店CANTRIP,スタンダード
2025/9/7,03:00,東京都,競技 PWS,Fの集会場,スタンダード
2025/9/7,11:00,東京都,カジュアル PWS,スポーツカード＆カードゲームショップMINT吉祥寺店,スタンダード
2025/9/7,12:00,東京都,競技 PWS,ゲームショップとど,スタンダード
2025/9/7,13:00,東京都,カジュアル PWS,アメニティードリーム新宿店,スタンダード
2025/9/7,13:00,東京都,カジュアル PWS,アメニティードリーム町田店,スタンダード
2025/9/7,13:00,東京都,カジュアル PWS,晴れる屋吉祥寺店,スタンダード
2025/9/7,13:30,東京都,カジュアル PWS,東京MTG,スタンダード
2025/9/7,15:30,東京都,競技 PWS,カードショップサトPin,スタンダード
2025/9/7,16:00,東京都,競技 PWS,遊Vic中野店,スタンダード
2025/9/7,17:00,東京都,カジュアル PWS,晴れる屋トーナメントセンター東京,スタンダード
2025/9/7,17:00,東京都,カジュアル PWS,TCG専門店CANTRIP,スタンダード
2025/9/7,17:00,東京都,カジュアル PWS,TCGカフェ＆バー EVO,スタンダード
2025/9/7,17:00,東京都,カジュアル PWS,晴れる屋渋谷店,スタンダード
2025/9/7,18:00,東京都,カジュアル PWS,アメニティードリーム吉祥寺店,スタンダード
2025/9/7,18:00,東京都,カジュアル PWS,晴れる屋秋葉原店,スタンダード
2025/9/8,19:30,東京都,カジュアル PWS,TCG専門店ARCANA,スタンダード
2025/9/9,19:00,東京都,カジュアル PWS,秋葉原あずまや,スタンダード
2025/9/10,19:00,東京都,カジュアル PWS,東京MTG,スタンダード
2025/9/10,19:00,東京都,カジュアル PWS,アメニティードリーム秋葉原店,スタンダード
2025/9/10,19:00,東京都,カジュアル PWS,CARD WINGS 秋葉原駅前店,スタンダード
2025/9/10,19:00,東京都,カジュアル PWS,イエローサブマリン新宿店,スタンダード
2025/9/10,19:00,東京都,競技 PWS,Card Pot,スタンダード
2025/9/11,19:00,東京都,カジュアル PWS,カードラッシュ秋葉原0号店TC,スタンダード
2025/9/12,16:00,東京都,カジュアル PWS,スポーツカード＆カードゲームショップMINT渋谷店,スタンダード
2025/9/12,18:00,東京都,カジュアル PWS,MINTGAMES池袋店,スタンダード
2025/9/12,19:00,東京都,カジュアル PWS,ブックアニマル蒲田梅屋敷店,スタンダード
2025/9/12,19:00,東京都,カジュアル PWS,Clove Base Akihabara,スタンダード
2025/9/13,12:00,東京都,競技 PWS,晴れる屋トーナメントセンター東京,スタンダード
2025/9/13,12:00,東京都,競技 PWS,スポーツカード＆カードゲームショップMINT渋谷店,スタンダード
2025/9/13,13:00,東京都,カジュアル PWS,ボードゲーム喫茶天岩庵,スタンダード
2025/9/13,13:00,東京都,カジュアル PWS,アメニティードリーム立川店,スタンダード
2025/9/13,13:30,東京都,カジュアル PWS,東京MTG,スタンダード
2025/9/13,15:00,東京都,カジュアル PWS,イエローサブマリン秋葉原本店★ミント,スタンダード
2025/9/13,16:00,東京都,カジュアル PWS,イエローサブマリン立川店,スタンダード
2025/9/13,17:00,東京都,カジュアル PWS,フルコンプ八王子店,スタンダード
2025/9/13,17:00,東京都,カジュアル PWS,ゲームショップ武蔵,スタンダード
2025/9/13,17:00,東京都,カジュアル PWS,TCG専門店Day屋,スタンダード
2025/9/13,17:00,東京都,カジュアル PWS,晴れる屋渋谷店,スタンダード
2025/9/13,18:00,東京都,カジュアル PWS,アメニティードリーム蒲田店,スタンダード
2025/9/13,18:00,東京都,カジュアル PWS,カードボックス池袋店,スタンダード
2025/9/14,11:00,東京都,カジュアル PWS,スポーツカード＆カードゲームショップMINT吉祥寺店,スタンダード
2025/9/14,11:30,東京都,カジュアル PWS,BIG MAGIC池袋店,スタンダード
2025/9/14,13:00,東京都,カジュアル PWS,アメニティードリーム町田店,スタンダード
2025/9/14,13:00,東京都,カジュアル PWS,晴れる屋吉祥寺店,スタンダード
2025/9/14,14:30,東京都,カジュアル PWS,BIG MAGIC池袋店,スタンダード
